	36345_Symbiodinium_microadriaticum_A1_CassKB8_500ln	47262_Davies_Cladocopium_LongestContig-500_renamed	52508_Breviolum_Sid-radians_Avila-Medina_500lnThresh_LongestIso_renamed
36345_Symbiodinium_microadriaticum_A1_CassKB8_500ln	0.0	2446.0	2585.0
47262_Davies_Cladocopium_LongestContig-500_renamed	2046.0	0.0	11234.0
52508_Breviolum_Sid-radians_Avila-Medina_500lnThresh_LongestIso_renamed	2384.0	14855.0	0.0
