	36345_Symbiodinium_microadriaticum_A1_CassKB8_500ln	47262_Davies_Cladocopium_LongestContig-500_renamed	52508_Breviolum_Sid-radians_Avila-Medina_500lnThresh_LongestIso_renamed
36345_Symbiodinium_microadriaticum_A1_CassKB8_500ln	0.0	32.0	104.0
47262_Davies_Cladocopium_LongestContig-500_renamed	31.0	0.0	92.0
52508_Breviolum_Sid-radians_Avila-Medina_500lnThresh_LongestIso_renamed	82.0	100.0	0.0
