	36345_Symbiodinium_microadriaticum_A1_CassKB8_500ln	47262_Davies_Cladocopium_LongestContig-500_renamed	52508_Breviolum_Sid-radians_Avila-Medina_500lnThresh_LongestIso_renamed
36345_Symbiodinium_microadriaticum_A1_CassKB8_500ln	0.0	145.0	372.0
47262_Davies_Cladocopium_LongestContig-500_renamed	208.0	0.0	3177.0
52508_Breviolum_Sid-radians_Avila-Medina_500lnThresh_LongestIso_renamed	194.0	118.0	0.0
