	36345_Symbiodinium_microadriaticum_A1_CassKB8_500ln	47262_Davies_Cladocopium_LongestContig-500_renamed	52508_Breviolum_Sid-radians_Avila-Medina_500lnThresh_LongestIso_renamed
36345_Symbiodinium_microadriaticum_A1_CassKB8_500ln	0.0	1510.0	1292.0
47262_Davies_Cladocopium_LongestContig-500_renamed	1510.0	0.0	7718.0
52508_Breviolum_Sid-radians_Avila-Medina_500lnThresh_LongestIso_renamed	1292.0	7718.0	0.0
