Orthogroup	Duplications (all)	Duplications (50% support)
OG0000317	4	4
OG0000318	4	4
OG0000319	4	4
OG0000320	4	4
OG0000321	4	4
OG0000322	4	4
OG0000323	4	4
OG0000324	5	5
OG0000325	5	5
OG0000326	5	5
OG0000327	5	5
OG0000328	5	5
OG0000329	5	5
OG0000330	5	5
OG0000331	5	5
OG0000332	5	5
OG0000333	5	5
OG0000334	5	5
OG0000335	5	5
OG0000336	5	5
OG0000337	5	5
OG0000338	5	5
OG0000339	5	5
OG0000340	5	5
OG0000341	5	5
OG0000342	5	5
OG0000343	5	5
OG0000344	5	5
OG0000345	5	5
OG0000346	5	5
OG0000347	5	5
OG0000348	5	5
OG0000349	5	5
OG0000350	5	5
OG0000351	5	5
OG0000352	5	5
OG0000353	5	5
OG0000354	5	5
OG0000355	5	5
OG0000356	5	5
OG0000357	5	5
OG0000358	5	5
OG0000359	3	3
OG0000360	4	4
OG0000361	2	2
OG0000362	4	4
OG0000363	2	2
OG0000364	2	2
OG0000365	4	4
OG0000366	2	2
OG0000367	4	4
OG0000368	3	3
OG0000369	4	4
OG0000370	4	4
OG0000371	4	4
OG0000372	3	3
OG0000373	4	4
OG0000374	2	2
OG0000375	4	4
OG0000376	4	4
OG0000377	4	4
OG0000378	2	2
OG0000379	4	4
OG0000380	4	4
OG0000381	4	4
OG0000382	1	1
OG0000383	2	2
OG0000384	4	4
OG0000385	4	4
OG0000386	4	4
OG0000387	4	4
OG0000388	4	4
OG0000389	3	3
OG0000390	4	4
OG0000391	4	4
OG0000392	1	1
OG0000393	4	4
OG0000394	4	4
OG0000395	4	4
OG0000396	4	4
OG0000397	4	4
OG0000398	4	4
OG0000399	3	3
OG0000400	4	4
OG0000401	1	1
OG0000402	4	4
OG0000403	4	4
OG0000404	4	4
OG0000405	4	4
OG0000406	1	1
OG0000407	2	2
OG0000408	3	3
OG0000409	2	2
OG0000410	4	4
OG0000411	4	4
OG0000412	3	3
OG0000413	4	4
OG0000414	4	4
OG0000415	2	2
OG0000416	4	4
OG0000417	4	4
OG0000418	4	4
OG0000419	3	3
OG0000420	2	2
OG0000421	2	2
OG0000422	4	4
OG0000423	2	2
OG0000424	3	3
OG0000425	2	2
OG0000426	3	3
OG0000427	4	4
OG0000428	4	4
OG0000429	3	3
OG0000430	4	4
OG0000431	2	2
OG0000432	2	2
OG0000433	2	2
OG0000434	4	4
OG0000435	4	4
OG0000436	4	4
OG0000437	4	4
OG0000438	4	4
OG0000439	2	2
OG0000440	3	3
OG0000441	4	4
OG0000442	2	2
OG0000443	2	2
OG0000444	2	2
OG0000445	3	3
OG0000446	2	2
OG0000447	4	4
OG0000448	4	4
OG0000449	2	2
OG0000450	4	4
OG0000451	1	1
OG0000452	2	2
OG0000453	4	4
OG0000454	3	3
OG0000455	2	2
OG0000456	3	3
OG0000457	2	2
OG0000458	3	3
OG0000459	4	4
OG0000460	2	2
OG0000461	2	2
OG0000462	4	4
OG0000463	4	4
OG0000464	4	4
OG0000465	4	4
OG0000466	3	3
OG0000467	4	4
OG0000468	3	3
OG0000469	4	4
OG0000470	4	4
OG0000471	2	2
OG0000472	4	4
OG0000473	4	4
OG0000474	3	3
OG0000475	4	4
OG0000476	4	4
OG0000477	4	4
OG0000478	2	2
OG0000479	4	4
OG0000480	2	2
OG0000481	4	4
OG0000482	2	2
OG0000483	1	1
OG0000484	4	4
OG0000485	2	2
OG0000486	4	4
OG0000487	4	4
