	36345_Symbiodinium_microadriaticum_A1_CassKB8_500ln	47262_Davies_Cladocopium_LongestContig-500_renamed	52508_Breviolum_Sid-radians_Avila-Medina_500lnThresh_LongestIso_renamed
36345_Symbiodinium_microadriaticum_A1_CassKB8_500ln	0.0	759.0	817.0
47262_Davies_Cladocopium_LongestContig-500_renamed	297.0	0.0	247.0
52508_Breviolum_Sid-radians_Avila-Medina_500lnThresh_LongestIso_renamed	816.0	6919.0	0.0
