Number of species	3
Number of genes	136115
Number of genes in orthogroups	53080
Number of unassigned genes	83035
Percentage of genes in orthogroups	39.0
Percentage of unassigned genes	61.0
Number of orthogroups	21527
Number of species-specific orthogroups	8762
Number of genes in species-specific orthogroups	21344
Percentage of genes in species-specific orthogroups	15.7
Mean orthogroup size	2.5
Median orthogroup size	2.0
G50 (assigned genes)	2
G50 (all genes)	1
O50 (assigned genes)	8257
O50 (all genes)	36505
Number of orthogroups with all species present	960
Number of single-copy orthogroups	458
Date	2021-03-25
Orthogroups file	Orthogroups.tsv
Unassigned genes file	Orthogroups_UnassignedGenes.tsv
Per-species statistics	Statistics_PerSpecies.tsv
Overall statistics	Statistics_Overall.tsv
Orthogroups shared between species	Orthogroups_SpeciesOverlaps.tsv

Average number of genes per-species in orthogroup	Number of orthogroups	Percentage of orthogroups	Number of genes	Percentage of genes
<1	15397	71.5	30794	58.0
'1	5771	26.8	19052	35.9
'2	249	1.2	1646	3.1
'3	70	0.3	689	1.3
'4	26	0.1	337	0.6
'5	6	0.0	97	0.2
'6	5	0.0	92	0.2
'7	0	0.0	0	0.0
'8	1	0.0	24	0.0
'9	0	0.0	0	0.0
'10	0	0.0	0	0.0
11-15	0	0.0	0	0.0
16-20	1	0.0	57	0.1
21-50	0	0.0	0	0.0
51-100	1	0.0	292	0.6
101-150	0	0.0	0	0.0
151-200	0	0.0	0	0.0
201-500	0	0.0	0	0.0
501-1000	0	0.0	0	0.0
'1001+	0	0.0	0	0.0

Number of species in orthogroup	Number of orthogroups
1	8762
2	11805
3	960
