	36345_Symbiodinium_microadriaticum_A1_CassKB8_500ln	47262_Davies_Cladocopium_LongestContig-500_renamed	52508_Breviolum_Sid-radians_Avila-Medina_500lnThresh_LongestIso_renamed
36345_Symbiodinium_microadriaticum_A1_CassKB8_500ln	4421	1844	1833
47262_Davies_Cladocopium_LongestContig-500_renamed	1844	11892	11008
52508_Breviolum_Sid-radians_Avila-Medina_500lnThresh_LongestIso_renamed	1833	11008	18939
