"","gene","module"
"140","GCKDGN102C69N1_Past","pink"
"141","GCKDGN102C6OMS_Past","pink"
"142","GCKDGN102C6YPI_Past","pink"
"143","GCKDGN102C81RG_Past","pink"
"144","GCKDGN102C820L_Past","pink"
"145","GCKDGN102C8DO2_Past","pink"
"146","GCKDGN102C8ETO_Past","pink"
"147","GCKDGN102C94IT_Past","pink"
"148","GCKDGN102C9J56_Past","pink"
"149","GCKDGN102C9SK0_Past","pink"
"150","GCKDGN102D0J9C_Past","pink"
"151","GCKDGN102D0M9D_Past","pink"
"152","GCKDGN102D0W9U_Past","pink"
"153","GCKDGN102D29WW_Past","pink"
"154","GCKDGN102D30L0_Past","pink"
"155","GCKDGN102D389T_Past","pink"
"156","GCKDGN102D5S2R_Past","pink"
"157","GCKDGN102D5S9K_Past","pink"
"158","GCKDGN102D64E0_Past","pink"
"159","GCKDGN102D6SIP_Past","pink"
"160","GCKDGN102D74IS_Past","pink"
"161","GCKDGN102D7CQ8_Past","pink"
"162","GCKDGN102D8R9I_Past","pink"
"163","GCKDGN102D8ZYX_Past","pink"
"164","GCKDGN102D9BBK_Past","pink"
"165","GCKDGN102D9IMM_Past","pink"
"166","GCKDGN102DAHVE_Past","pink"
"167","GCKDGN102DB6DC_Past","pink"
"168","GCKDGN102DBB9M_Past","pink"
"169","GCKDGN102DBDNJ_Past","pink"
"170","GCKDGN102DCIMS_Past","pink"
"171","GCKDGN102DDDQ1_Past","pink"
"172","GCKDGN102DDUNO_Past","pink"
"173","GCKDGN102DE63A_Past","pink"
"174","GCKDGN102DEYEC_Past","pink"
"175","GCKDGN102DG9VN_Past","pink"
"176","GCKDGN102DGDF6_Past","pink"
"177","GCKDGN102DKCES_Past","pink"
"178","GCKDGN102DKEE0_Past","pink"
"179","GCKDGN102DKXFX_Past","pink"
"180","GCKDGN102DL9YI_Past","pink"
"181","GCKDGN102DLSGX_Past","pink"
"182","GCKDGN102DLVGQ_Past","pink"
"183","GCKDGN102DN5QT_Past","pink"
"184","GCKDGN102DNDS6_Past","pink"
"185","GCKDGN102DNTWV_Past","pink"
"186","GCKDGN102DOS8W_Past","pink"
"187","GCKDGN102DOTCO_Past","pink"
"188","GCKDGN102DPG23_Past","pink"
"189","GCKDGN102DPTYQ_Past","pink"
"190","GCKDGN102DPU90_Past","pink"
"191","GCKDGN102DPW09_Past","pink"
"192","GCKDGN102DQTIC_Past","pink"
"193","GCKDGN102DT395_Past","pink"
"194","GCKDGN102DTGH6_Past","pink"
"195","GCKDGN102DUH69_Past","pink"
"196","GCKDGN102DUHAZ_Past","pink"
"197","GCKDGN102DVMG3_Past","pink"
"198","GCKDGN102DW4NP_Past","pink"
"199","GCKDGN102DW8HG_Past","pink"
"200","GCKDGN102DYM1P_Past","pink"
"201","GCKDGN102DYNSQ_Past","pink"
"202","GCKDGN102E0803_Past","pink"
"203","GCKDGN102E0V3O_Past","pink"
"204","GCKDGN102E1RS9_Past","pink"
"205","GCKDGN102E1Y7Q_Past","pink"
"206","GCKDGN102E2JT2_Past","pink"
"207","GCKDGN102EA9VM_Past","pink"
"208","GCKDGN102EBMES_Past","pink"
"209","GCKDGN102EC0ZD_Past","pink"
"210","GCKDGN102ECCBS_Past","pink"
"211","GCKDGN102ECY10_Past","pink"
"212","GCKDGN102ECYZQ_Past","pink"
"213","GCKDGN102ED2D3_Past","pink"
"214","GCKDGN102EDNLS_Past","pink"
"215","GCKDGN102EDPQD_Past","pink"
"216","GCKDGN102EEEZV_Past","pink"
"217","GCKDGN102EFXIW_Past","pink"
