"","group","LFC","n","Destination"
"1","OC-LC","Up",1,"Control"
"2","OC-LC","Down",0,"Control"
"3","OO-LO","Down",-2,"Ojo"
"4","OO-LO","Up",31,"Ojo"
"5","LO-LC","Down",-11,"Ojo vs. Control"
"6","LO-LC","Up",26,"Ojo vs. Control"
"7","OO-OC","Down",-215,"Ojo vs. Control"
"8","OO-OC","Up",127,"Ojo vs. Control"
