"","group","n","extension","sd_extension","se_extension","density","sd_density","se_density","sym","sd_sym","se_sym","chl.SA","sd_chl.SA","se_chl.SA","chl.cell","sd_chl.cell","se_chl.cell","protein","sd_protein","se_protein"
"1","Lagoon.Control",9,8.16666666666667,2.28910462845192,0.76303487615064,1.60302651814286,0.0924058447416164,0.0308019482472055,11301905.8433333,11927676.2045875,3975892.06819585,59.1016666666667,71.9701903336838,23.9900634445613,5.44e-06,3.39870143269035e-06,1.13290047756345e-06,1.32857142857143,0.622934682810019,0.207644894270006
"2","Lagoon.Ojo",5,9.68,4.56256506802917,2.04044112877583,1.10729524825,0.0690396974812832,0.0308754913428341,29544555.7056,19264743.4737781,8615455.19529265,266.07,194.185591767258,86.8424366885223,8.3e-06,1.7213802601401e-06,7.69824655359907e-07,3.056,2.31532503117813,1.03544483194422
"3","Ojo.Control",8,7.8125,1.09861926330931,0.38842056551409,1.58150674542857,0.065403803021838,0.0231237363160654,10379500.8417143,5744915.73483389,2031134.43672317,49.075,31.4496910954623,11.1191449199118,4.42714285714286e-06,1.07389810636631e-06,3.79680316657504e-07,1.145,0.544453854793958,0.192493506383982
"4","Ojo.Ojo",7,13.55,3.08814939189584,1.16721075748168,1.12993052925,0.114633935266517,0.0433275549319832,29819415.672,32037904.5107271,12109189.6947169,202.6525,191.583516405596,72.4117628154958,7.8375e-06,1.9093170681337e-06,7.21654019464677e-07,1.72,1.85234985896293,0.700122438271642
