GeneName,NC_291_C_Pa_yr2,NC_294_C_Pa_yr2,NC_297_C_Pa_yr2,NC_300_C_Pa_yr2,NC_313_C_Pa_yr2,NC_316_C_Pa_yr2,NC_319_C_Pa_yr2,NC_322_C_Pa_yr2,NC_325_C_Pa_yr2,NO_265_La_Pa_yr2,NO_268_La_Pa_yr2,NO_271_La_Pa_yr2,NO_274_La_Pa_yr2,NO_277_La_Pa_yr2,NO_280_La_Pa_yr2,NO_289_La_Pa_yr2,NO_266_N_Pa_yr2,NO_272_N_Pa_yr2,NO_275_N_Pa_yr2,NO_278_N_Pa_yr2,NC_292_La_Pa_yr2,NC_295_La_Pa_yr2,NC_298_La_Pa_yr2,NC_311_La_Pa_yr2,NC_314_La_Pa_yr2,NC_317_La_Pa_yr2,NC_320_La_Pa_yr2,NC_326_La_Pa_yr2,NC_293_N_Pa_yr2,NC_312_N_Pa_yr2,NC_318_N_Pa_yr2,NC_327_N_Pa_yr2,NO_261_C_Pa_yr2,NO_264_C_Pa_yr2,NO_267_C_Pa_yr2,NO_270_C_Pa_yr2,NO_276_C_Pa_yr2,NO_279_C_Pa_yr2,NO_282_C_Pa_yr2,NO_288_C_Pa_yr2
GE911046_Past,1,2,1,2,0,2,0,2,1,0,0,2,0,1,0,2,0,0,0,1,0,0,1,1,2,2,0,1,0,0,1,0,0,2,0,0,0,1,1,3
GE911055_Past,3,4,1,2,0,1,1,1,2,0,0,0,0,3,0,4,1,0,0,2,0,1,4,0,2,0,0,0,0,0,0,2,1,1,0,2,0,2,2,2
GE911059_Past,8,37,12,26,16,19,16,11,45,1,0,8,8,14,0,27,13,0,18,19,0,4,15,0,9,17,0,14,0,0,12,17,20,32,27,6,14,27,9,38
GE911065_Past,10,24,15,44,12,12,11,15,53,1,0,9,6,6,0,24,11,0,17,10,0,4,12,0,12,21,0,20,0,0,5,23,8,40,40,8,26,24,11,22
GE911073_Past,6,4,7,10,6,2,2,4,7,8,8,2,2,2,10,1,6,1,2,4,5,3,9,1,6,5,7,11,6,2,5,7,4,1,2,2,3,6,2,6
GE911087_Past,0,2,1,8,0,7,2,1,5,1,0,0,1,1,0,4,1,0,1,1,0,0,4,0,0,0,0,1,0,0,1,1,2,8,2,0,0,2,1,3
GE911112_Past,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE911114_Past,7,9,13,8,4,8,7,4,14,0,0,2,0,1,2,10,3,0,8,8,0,0,1,0,5,13,0,1,0,0,3,4,8,10,10,3,5,8,3,11
GE911117_Past,8,8,9,12,4,12,8,6,13,1,0,13,7,3,0,14,4,0,6,9,0,3,5,0,2,8,0,8,0,0,10,8,15,18,7,5,8,11,1,19
GE911149_Past,8,4,8,12,3,8,5,3,15,0,0,3,1,0,0,6,4,0,9,4,0,4,2,0,4,0,0,1,0,0,4,15,8,7,5,1,6,7,5,7
