"gene","NC_291_C_Pa_yr2","NC_294_C_Pa_yr2","NC_297_C_Pa_yr2","NC_300_C_Pa_yr2","NC_313_C_Pa_yr2","NC_316_C_Pa_yr2","NC_319_C_Pa_yr2","NC_322_C_Pa_yr2","NC_325_C_Pa_yr2","NO_265_La_Pa_yr2","NO_268_La_Pa_yr2","NO_271_La_Pa_yr2","NO_274_La_Pa_yr2","NO_277_La_Pa_yr2","NO_280_La_Pa_yr2","NO_289_La_Pa_yr2","NC_295_La_Pa_yr2","NC_298_La_Pa_yr2","NC_314_La_Pa_yr2","NC_317_La_Pa_yr2","NC_326_La_Pa_yr2","NO_261_C_Pa_yr2","NO_264_C_Pa_yr2","NO_267_C_Pa_yr2","NO_270_C_Pa_yr2","NO_276_C_Pa_yr2","NO_279_C_Pa_yr2","NO_282_C_Pa_yr2","NO_288_C_Pa_yr2"
"GCKDGN101A08CL_Past",5.13226843699812,6.35996943076412,3.5906010871328,2.9082167121805,3.68193765791455,6.3757283380277,1.80159622458327,3.39959182209393,4.84149033541876,9.74575991409087,0,3.33082285726742,0,3.01455063662285,0,2.34588928180855,3.89797229767477,0,3.59417289916987,3.8451177835632,8.65249299605147,1.72568501641093,1.46187535465663,3.73234689678649,0,1.61811640829895,3.11845214743722,2.26082932040627,4.09673591460241
"GCKDGN101A0M5U_Past",12.3174442487955,9.78456835502172,13.6442841311046,11.2174073184105,6.44339090135046,6.3757283380277,9.90877923520798,9.06557819225048,19.6685544876387,0,0,8.88219428604645,1.38279858459151,4.01940084883047,0,11.7294464090428,4.87246537209346,1.05553052816186,5.03184205883782,7.69023556712641,25.9574789881544,13.2302517924838,13.1568781919096,3.73234689678649,10.7881238853029,8.89964024564421,9.87509846688454,9.04331728162508,6.14510387190362
"GCKDGN101A2BO2_Past",2.05290737479925,4.40305575975977,6.46308195683904,5.40097389404951,1.84096882895727,4.25048555868513,1.80159622458327,2.26639454806262,3.32852460560039,0,0,4.44109714302323,2.76559716918301,5.02425106103809,0,4.22260070725539,4.87246537209346,9.49977475345673,7.18834579833974,2.5634118557088,0,5.17705504923279,2.92375070931325,1.86617344839325,8.99010323775242,4.85434922489684,5.71716227030158,3.39124398060941,3.07255193595181
"GCKDGN101A2NQR_Past",7.18517581179738,6.35996943076412,8.61744260911871,3.73913577280351,8.28435973030773,6.3757283380277,6.30558678604144,2.26639454806262,4.53889718945508,0,0,4.44109714302323,8.29679150754905,4.01940084883047,0,2.81506713817026,7.79594459534953,3.16659158448558,0.718834579833974,2.5634118557088,3.84555244268954,4.0265983716255,1.46187535465663,3.11028908065541,8.99010323775242,4.85434922489684,5.71716227030158,9.04331728162508,3.58464392527711
"GCKDGN101A2V3C_Past",7.18517581179738,7.82765468401737,1.43624043485312,0,2.76145324343591,4.95889981846599,4.50399056145818,5.66598637015655,10.5907601087285,0,0,0,12.4451872613236,4.01940084883047,0,20.6438256799152,6.82145152093084,0,10.0636841176756,0.6408529639272,2.88416433201716,2.87614169401822,0.487291784885542,9.33086724196623,1.79802064755048,6.47246563319579,0,1.13041466020314,5.12091989325301
"GCKDGN101A32G8_Past",3.07936106219887,5.87074101301303,7.18120217426559,0,14.7277506316582,2.12524277934257,4.50399056145818,4.53278909612524,3.32852460560039,0,0,0,1.38279858459151,3.01455063662285,0,13.6061578344896,1.94898614883738,0,4.31300747900385,4.4859707474904,3.84555244268954,1.15045667760729,0.487291784885542,7.46469379357298,0,2.42717461244842,2.59871012286435,3.39124398060941,3.07255193595181
"GCKDGN101A33CU_Past",5.13226843699812,2.44614208875543,2.15436065227968,0.415459530311501,2.76145324343591,9.91779963693198,6.30558678604144,0,4.53889718945508,0,0,4.44109714302323,12.4451872613236,2.00970042441523,0,0.46917785636171,2.92347922325607,0,0.718834579833974,2.5634118557088,9.61388110672386,0.575228338803643,0.487291784885542,0,7.19208259020194,3.2362328165979,0.519742024572871,0,2.04836795730121
"GCKDGN101A3N2H_Past",5.13226843699812,5.38151259526194,8.61744260911871,5.81643342436101,2.76145324343591,6.3757283380277,4.50399056145818,3.39959182209393,4.53889718945508,0,0,3.33082285726742,11.0623886767321,2.00970042441523,0,5.16095641997881,2.92347922325607,7.38871369713301,0.718834579833974,5.7676766753448,4.80694055336193,1.15045667760729,6.33479320351204,2.48823126452433,1.79802064755048,4.85434922489684,5.71716227030158,1.13041466020314,4.09673591460241
"GCKDGN101A44VH_Past",5.13226843699812,6.8491978485152,0,3.73913577280351,4.60242207239318,3.54207129890428,1.80159622458327,3.39959182209393,5.4466766273461,0,0,8.88219428604645,1.38279858459151,4.01940084883047,0,9.85273498359591,3.89797229767477,4.22212211264744,2.15650373950192,3.8451177835632,4.80694055336193,11.5045667760729,6.33479320351204,15.5514454032771,3.59604129510097,8.89964024564421,2.59871012286435,6.78248796121881,4.60882790392771
"GCKDGN101A4M6J_Past",1.02645368739963,6.8491978485152,12.2080436962515,6.64735248498401,7.36387531582909,7.79255685758941,9.00798112291635,9.06557819225048,3.63111775156407,0,5.90409304700066,4.44109714302323,9.67959009214055,14.0679029709066,0,7.50684570178736,13.6429030418617,10.5553052816186,5.75067663867179,5.7676766753448,1.92277622134477,6.32751172684007,1.94916713954217,8.08675160970407,10.7881238853029,10.5177566539432,7.79613036859306,9.04331728162508,5.63301188257832
