	10714_past_LongestContig_500ln_suffixed	19222_Sid_GoodCoral_500lnThresh_Final
10714_past_LongestContig_500ln_suffixed	1673	1267
19222_Sid_GoodCoral_500lnThresh_Final	1267	2599
