	10714_past_LongestContig_500ln_suffixed	19222_Sid_GoodCoral_500lnThresh_Final
10714_past_LongestContig_500ln_suffixed	0.0	235.0
19222_Sid_GoodCoral_500lnThresh_Final	98.0	0.0
