	10714_past_LongestContig_500ln_suffixed	19222_Sid_GoodCoral_500lnThresh_Final
10714_past_LongestContig_500ln_suffixed	0.0	14.0
19222_Sid_GoodCoral_500lnThresh_Final	16.0	0.0
