	10714_past_LongestContig_500ln_suffixed	19222_Sid_GoodCoral_500lnThresh_Final
10714_past_LongestContig_500ln_suffixed	0.0	287.0
19222_Sid_GoodCoral_500lnThresh_Final	1524.0	0.0
