"","group","LFC","n","Destination"
"1","OO-LO","Down",-3,"Ojo"
"2","OO-LO","Up",28,"Ojo"
"3","LO-LC","Down",-1,"Ojo vs. Control"
"4",NA,"Up",0,"Ojo vs. Control"
"5","OO-OC","Down",-42,"Ojo vs. Control"
"6","OO-OC","Up",47,"Ojo vs. Control"
